Kash;0;0;0;0;0;0;5;5;9;0;8;9;
Eamon;0;0;0;6;0;0;5;0;0;0;0;0;
Arman;13;10;11;10;12;7;13;18;14;10;7;12;
Boaz;0;0;0;0;0;0;0;0;0;0;0;6;
Kyran;0;0;5;0;0;0;0;0;0;0;0;0;
Ashton;33;21;67;58;61;54;50;63;51;51;50;35;
Liam;214;180;199;165;180;200;211;193;286;263;263;264;
Reed;0;7;0;0;0;0;0;7;9;11;5;7;
Cassius;0;0;0;0;0;5;9;0;10;0;0;5;
Colton;55;42;42;39;38;39;39;47;49;56;58;46;
Aidan;106;141;148;118;114;125;95;84;61;57;60;50;
Floyd;0;0;0;0;0;0;0;0;5;0;0;0;
Marley;0;0;0;0;0;0;5;0;0;5;0;0;
Abdullah;0;7;0;7;5;0;6;5;0;7;5;5;
Glenn;7;0;0;0;0;0;0;0;0;0;0;0;
Lucien;0;0;0;0;0;0;6;0;0;7;0;0;
Matteo;25;24;30;25;29;28;26;27;30;30;39;21;
Harley;6;5;6;0;5;8;5;7;5;9;0;9;
Gordon;8;12;6;8;10;15;12;7;19;5;11;8;
Manveer;0;0;5;0;0;7;0;0;0;0;5;0;
Fergus;6;0;0;0;0;0;0;0;0;0;0;5;
Karim;0;0;0;0;0;0;0;0;0;0;0;5;
Ahmad;0;0;6;7;5;6;10;9;0;0;6;6;
Davin;9;5;5;8;6;5;7;6;12;0;6;5;
Emil;0;0;5;0;0;0;0;0;0;0;0;0;
Steven;47;44;36;35;25;26;24;26;24;19;11;22;
Zachery;5;12;10;5;8;0;0;8;6;0;0;5;
Roan;0;0;7;7;0;6;6;0;0;6;0;0;
Manpreet;6;0;0;0;0;0;0;0;0;0;0;0;
David;114;105;105;105;87;99;87;80;95;71;83;74;
Otis;0;0;0;0;0;0;0;0;0;8;0;6;
Maxime;0;0;0;0;0;0;0;0;5;8;0;0;
Quinlan;0;0;5;0;6;0;0;0;0;5;0;0;
Brendon;11;6;5;5;0;0;0;0;0;0;0;0;
Rayan;0;0;0;0;0;0;5;5;8;7;6;0;
Miguel;10;13;14;10;10;9;9;7;8;8;14;9;
Vance;0;0;0;0;0;0;0;0;6;7;6;0;
Davis;11;7;10;11;8;9;5;10;11;10;8;8;
Ayaan;0;0;0;0;0;0;5;6;0;7;13;10;
Parteek;0;0;0;0;0;0;0;0;0;0;5;0;
Ishan;0;0;7;0;0;0;5;0;0;0;0;0;
Maxim;0;0;8;10;7;6;11;12;11;16;13;15;
Jaskarn;7;0;0;5;5;0;0;0;0;0;0;0;
Mario;0;0;0;0;0;11;10;6;0;0;0;0;
Dennis;11;5;8;5;10;0;7;6;7;6;7;0;
Billy;0;7;7;7;6;0;0;0;0;0;0;0;
Corbin;12;14;11;10;10;17;18;19;26;22;21;20;
Orlando;0;0;0;0;0;0;0;0;0;6;0;0;
Mehtab;0;0;0;0;6;0;0;7;9;7;10;6;
Gagandeep;5;0;0;0;0;0;0;0;0;0;0;0;
Harshaan;0;0;0;0;0;0;0;5;8;5;10;7;
Leo;10;17;17;27;27;27;23;29;35;33;57;69;
Deacon;0;0;0;0;0;0;7;7;8;6;0;0;
Brent;9;0;0;6;0;0;7;0;5;6;0;0;
Cory;7;8;5;7;6;5;7;5;0;0;0;8;
Lewis;6;6;5;0;0;6;9;9;5;7;16;11;
Kirk;0;0;0;0;0;0;0;0;0;5;0;0;
Oliver;36;31;54;41;61;95;103;118;141;125;142;150;
Shay;0;0;0;0;0;0;0;0;5;0;0;0;
Rowan;14;19;22;33;27;37;35;23;43;24;36;34;
Emilio;0;0;5;7;12;6;5;7;5;0;6;0;
Hunter;58;57;66;56;62;67;79;96;105;69;103;104;
Sartaj;0;5;0;5;0;0;0;0;6;0;8;0;
Daxon;0;0;0;0;0;0;0;0;0;0;5;0;
Kenneth;23;24;23;19;24;10;20;16;14;10;17;16;
