Kalia;0;0;0;0;0;0;0;0;0;0;8;6;11.5660940209;
Kaede;0;0;0;0;0;6;0;0;0;0;0;0;1.33621937984;
Brooke;63;54;70;52;52;68;63;5;55;44;40;32;42.4168099675;
Morgan;69;58;48;55;49;46;47;43;52;32;33;23;0;
Kendall;8;0;7;0;14;0;6;0;8;0;6;9;11.4761505044;
Opal;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Adeline;0;0;0;0;5;0;0;0;8;6;8;5;15.3099829668;
Maliya;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Raine;0;0;0;0;0;0;0;0;5;0;0;7;4.58624798597;
Adelina;0;0;0;0;0;5;0;0;0;0;0;0;1.11351612759;
Madeleine;29;25;27;23;21;31;32;46;37;42;27;34;29.2145713931;
Delilah;0;0;0;0;0;0;0;12;7;8;14;14;23.6227539212;
Quinn;9;8;7;7;11;15;17;11;12;34;37;43;74.4989959222;
Ishmeet;0;0;0;0;0;0;6;0;0;0;0;0;0;
Niamh;0;0;0;0;6;0;0;0;0;0;0;0;3.18381707431;
Nahla;0;0;0;0;0;0;0;0;0;0;0;5;3.6446554132;
Beatrix;0;0;0;0;0;0;0;0;0;0;5;8;10.0484716642;
Alissa;7;9;9;6;5;6;9;0;6;6;5;0;0;
Paityn;0;0;0;0;0;0;0;6;6;5;5;0;5.05645423828;
Amina;5;0;0;0;0;0;0;0;6;0;0;0;0;
Anya;9;8;15;13;8;12;6;19;15;12;19;18;23.4380353303;
Elianna;0;0;0;0;0;0;0;0;0;5;6;5;12.0180327079;
Chelsey;5;0;7;5;0;6;0;5;0;6;0;0;0;
Jordynn;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Chelsea;32;31;31;31;30;20;25;16;0;30;24;19;26.466452665;
Daya;0;0;0;0;0;0;5;0;0;0;0;0;0;
Amber;51;44;27;45;39;31;21;26;40;22;14;19;0;
Kinsley;0;0;0;0;0;0;0;0;5;11;10;12;24.5229289502;
Meera;0;0;0;0;0;0;0;0;0;0;0;6;4.37358641506;
Kristine;6;9;7;0;0;0;0;0;0;0;0;0;0;
Ainsley;9;11;13;10;7;14;14;14;17;22;17;19;25.1246146789;
Janelle;14;13;10;14;19;8;12;6;12;9;11;6;10.6250144941;
Kristina;12;17;8;9;9;10;10;7;8;0;0;0;0;
Sonya;0;0;0;5;6;7;0;0;0;0;0;0;4.6035513985;
Charis;0;5;0;0;0;0;0;6;0;0;5;0;0;
Kierra;7;9;0;9;0;5;8;7;5;0;0;0;0;
Kaitlyn;94;86;84;68;81;82;86;76;83;73;50;50;14.4153608657;
Kairi;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Gurneet;5;8;0;5;8;9;7;13;0;0;5;0;0;
Amaya;0;0;5;0;0;7;10;13;10;0;11;16;15.2432011591;
Kennedi;0;0;0;0;0;0;5;0;0;0;0;0;0;
Kaira;0;0;0;0;0;6;0;0;0;0;0;0;1.33621937984;
Mira;0;11;0;9;9;10;10;15;10;10;10;14;18.6921909188;
Nola;0;5;0;0;0;10;0;8;8;5;0;6;1.21853808908;
Amelia;14;39;44;57;59;53;57;62;62;102;90;96;177.852079758;
Maja;0;0;0;0;0;0;0;6;5;0;0;0;0;
Amelie;0;12;17;14;6;9;8;5;7;9;6;17;15.5726945781;
Raina;0;6;6;0;0;0;7;6;11;9;14;14;16.8763455172;
Siobhan;0;5;0;0;7;5;0;0;0;0;0;0;1.63622446062;
Tatianna;0;0;5;0;0;0;0;0;0;0;0;0;0;
Penelope;0;0;0;5;8;5;0;5;14;17;20;28;53.1281960704;
Nancy;0;0;5;0;7;7;5;7;0;0;0;0;0.661045354706;
Milan;0;0;0;5;0;0;0;0;0;0;0;0;1.16236870487;
Carina;5;0;0;6;7;5;0;0;9;8;0;7;13.1946256651;
Celeste;9;5;10;8;13;0;0;5;5;9;5;8;8.3646163616;
Bianca;19;15;12;18;19;17;23;17;16;14;19;18;19.1684482246;
Kiara;26;21;37;25;20;22;23;22;28;19;10;16;0.862501787454;
Cailyn;0;0;0;0;0;0;7;5;0;0;0;0;0;
Shae;10;7;8;7;0;0;0;0;0;0;0;6;0;
Gabriela;7;7;9;11;0;12;11;8;7;13;6;11;6.521855883;
Carla;0;0;0;0;0;0;0;0;0;0;0;8;5.83144854715;
Danika;18;27;14;19;22;32;24;30;34;30;11;20;11.8854324033;
