0							3.22
3							14.9
3.5							15.7
4							17
4.5							18.1
5							19.1
5.5							20.5
6							22.7
6.5							24.3
7							25.5
7.5							27.3
8							28.2
8.5							32
9							33.3
9.5							35.7
10							37
10.5							39.8
11							43.9
11.5							45.6
12							48.1
12.5							51.2
13							53.2
13.5							54.1
14							55
14.5							56.4
15							57.2
15.5							58.1
16							56.8
16.5							57.8
17							56.5
17.5							58.8
18							57.6
18.5							57.3
19							57.4
19.5							59.9
20							57
20.5							58.5
21							57.2
21.5							58.6
22							57
22.5							59.7
23							57.9
25							57.8
35							59.4
45							62.2
55							64.8
65							63.8
