0					3.36
3					15.7
3.5					16.1
4					17.3
4.5					18.3
5					19.6
5.5					21.2
6					22.8
6.5					25.1
7					25.7
7.5					27.6
8					28.8
8.5					33
9					33.8
9.5					35.6
10					37.9
10.5					39.8
11					43.4
11.5					43.3
12					47.4
12.5					51.3
13					51.1
13.5					54.2
14					58
14.5					60.1
15					67.1
15.5					66.2
16					67.5
16.5					67.8
17					70.1
17.5					70.5
18					70.5
18.5					70.9
19					74.3
19.5					73.2
20					73.1
20.5					74.9
21					71.9
21.5					74.6
22					73.1
22.5					74.7
23					76.3
25					73.9
35					77.1
45					78.8
55					78.3
65					78.1
